"ano","ano2","sinano","c.total","c.rosa","c.7barbas","c.branco","tsm_med_PB","tsm_coef_PB","tsm_med_chuv_PB","tsm_med_seco_PB","tsm_amp_chuv_PB","tsm_amp_seco_PB","prec_med_PB","prec_coef_PB","prec_med_chuv_PB","prec_med_seco_PB","prec_amp_chuv_PB","prec_amp_seco_PB","c.rosa.recon","c.branco.recon","c.7barbas.recon"
1997,1980.81273331431,0.690453377954393,327,32.7,44.2713192419825,85.02,27.141836643219,2.61746059702534,27.2970314025879,26.7908310890198,2.0960311889649,1.4209842681884,74.39,111.840102428893,151.353846153846,15.5352941176471,231.1,51.8,32.1479864387638,86.25817997364,46.2622653468252
1998,1979.16054065484,0.657513304720526,169,16.9,22.8802842565598,43.94,27.9042328198751,2.48011147307368,28.2838622501918,27.2766451835633,1.7356090545654,0.602338790893601,49.3172413793103,138.968116875803,165.066666666667,19.1217391304348,202.2,64.6212962962963,17.2018492274727,45.2978223391462,22.6519455945065
1999,1978.50380686801,0.623803802411014,113,11.3,15.2986516034985,29.38,27.6360739072164,2.57115059909238,27.9138518742153,27.0799679756164,1.9995555877685,0.996839523315398,63.855,105.363506143214,135.47,28.0475,243.8,64.6,11.2272487003255,28.247894504495,15.1855929657226
2000,1978.15527900078,0.58949179155989,84.5,8.45,11.4401421282799,21.97,27.6141166687012,2.53945065155325,27.956035886492,26.9965634346008,1.7276592254639,0.551155090331999,145.156862745098,79.5681240668774,191.755555555556,33.32,479.3,64.2,8.05897528303348,21.9786560703779,11.852846589754
2001,1978.22328976882,0.554746955881304,90,9,12.1847667638484,23.4,27.5645203590393,2.61928600905777,27.8490134647914,27.0373001098633,1.9976196289063,0.840381622314499,65.0175,120.606081467031,178.818181818182,21.851724137931,184.5,62.1,8.92533740489791,23.7291913555823,12.1242580351419
2002,1978.37652391798,0.519740900950844,102.5,10.25,13.8770954810496,26.65,27.4908186594645,2.46856411091599,27.7491414206369,27.0062069892883,1.8063011169433,1.0404357910156,96.8433333333333,103.470509331925,169.746666666667,23.94,397.7,64.2,9.87694369934703,26.549892972416,13.5900265495101
2003,1980.6151008776,0.484646305307353,306.5,30.65,41.4959001457726,79.69,27.9121530850728,2.568504570303,28.1842321668352,27.3686265945435,2.0058116912842,0.666587829589801,87.3033333333333,115.062706339457,163.022222222222,25.3515151515152,554.7,65.5,32.3429455203087,81.1337667690263,44.0138202075119
2004,1979.18330676507,0.449636068176264,171,17.1,23.151056851312,44.46,27.7278634707133,2.66819702550085,28.0417643955776,27.0742197036743,1.930004119873,0.591590881347699,114.21186440678,115.388582833019,228.880769230769,23.8666666666667,411.5,69.8,17.5790160506616,43.3071203415729,22.5745785125892
2005,1979.05175303672,0.414882458019471,159.5,15.95,21.5941144314869,41.47,27.7330473264058,3.04024171778975,28.1349495479039,26.9636769294739,2.0341129302979,0.6561584472657,93.5379310344828,132.335168426951,214.004761904762,25.1648648648649,490.8,63.6,15.4042728310107,40.8907780702445,20.7220071990016
2006,1977.99309847785,0.380556266097818,71.5,7.15,9.68012026239067,18.59,27.8186300595601,2.55075373356229,28.0937843322754,27.3609900474548,1.9844055175781,0.954729080200199,82.3847457627119,99.8138451673129,158.453846153846,22.4515151515151,272.6,66.8,7.30927236641556,19.1758294952917,9.89400154209959
2007,1977.71406780154,0.346825969195469,49.5,4.95,6.70162172011662,12.87,27.6633207003276,3.25386899111702,27.9883014133998,26.9746961593628,2.2595996856689,1.28537940979,92.3576271186441,114.911800115371,174.103703703704,23.384375,503.5,68.8,5.10223515984407,14.4728428504949,7.0707200584713
2008,1979.42412291813,0.313856905595594,192.417242224084,0,0,0,27.7654740015666,3.04488227615206,28.1716166904994,27.1103754043579,2.2730083465576,0.861434936523398,112.361016949153,107.580688091985,201.74,19.9,412.3,64,19.1536907527571,46.6897440896745,24.6812234069205
2009,1980.15396196179,0.281810468319621,260.547499754082,0,0,0,27.7684683799744,3.19953857716437,28.2218649727958,26.9732832908631,2.3543910980224,0.520431518554702,130.382456140351,107.598424595601,225.15,25.0851851851852,470.6,66.9,27.346196813169,64.8311849003502,35.7017773527921
2010,1979.9576970811,0.250843319543787,241.711657916958,0,0,0,28.1314992904663,3.36711515309825,28.6487778254918,27.291971206665,2.390266418457,0.866031646728498,72.7033898305085,89.9438097678081,135.372,26.6235294117647,184,68.6,26.2758565428911,57.5950006980538,33.6274952682832
2011,1980.19956819593,0.221106629990628,264.983214393269,0,0,0,27.8090351422628,2.82966188261231,28.2419597080776,27.0333604812622,1.869836807251,0.512353897094702,125.968333333333,104.270035434097,226.49,25.4466666666667,402.1,66.2,27.9074936858422,68.5467738212539,37.6898814116967
