"ano","ano2","sinano","c.total","c.rosa","c.7barbas","c.branco","tsm_med_PR","tsm_coef_PR","tsm_med_chuv_PR","tsm_med_seco_PR","tsm_amp_chuv_PR","tsm_amp_seco_PR","prec_med_PR","prec_coef_PR","prec_med_chuv_PR","prec_med_seco_PR","prec_amp_chuv_PR","prec_amp_seco_PR","c.rosa.recon","c.branco.recon","c.7barbas.recon"
1990,1976.37885284016,0.886423408154489,692.5,6.5,526,137.5,22.8722330729167,11.8563913009818,25.7486991882324,21.1879539489746,0.968976974487301,6.0622787475586,172.414893617021,58.1978288912736,214.33125,82.9933333333333,376.4,64.3,9.03198890912642,119.225863179303,511.276096809632
1991,1976.86370440028,0.863141645908404,714.5,6.5,526,137.5,23.0814870198568,9.25868246635856,25.3009753227234,21.9528369903564,0.783988952636701,4.6739349365235,115.754545454545,77.3807085270498,197.442105263158,53.672,229.4,107.6,8.20834521913066,320.737260515137,446.75893613901
1992,1979.0703027698,0.838066556178734,819.25,6.5,526,137.5,22.6405056317647,11.2949949679702,25.5114269256592,21.169415473938,1.4102230072021,5.79958152771,117.342222222222,61.4112723468712,169.24347826087,63.0818181818182,219.8,91.4,6.43192586141168,113.672205485964,632.735665117095
1993,1980.23171099252,0.811323658800943,877.875,6.5,526,137.5,22.9746251106262,12.6613150204048,26.0763611793518,21.2044706344604,1.3310298919678,6.774429321289,171.138888888889,55.048475005015,207.007692307692,77.88,234.4,79.7,10.7667277000845,82.6165899077797,651.928162567438
1994,1982.3826332824,0.783046571050679,994.354166666667,6.5,526,137.5,22.9450128873189,10.283947109978,25.2864699363708,21.4619903564453,2.1406898498535,4.5620098114014,124.13125,62.7168557112368,172.2,50.7631578947368,208,102.8,8.29148022110991,172.105454452681,794.795638323986
1995,1987.67879495558,0.753376332437337,1351.5,0,1235.5,0,22.70068359375,10.8174844167335,25.4008669853211,21.0437959035238,2.632963180542,4.2375640869141,165.147368421053,103.223606838928,244.918181818182,55.4625,728.8,85.8,4.17648446851828,119.564065969588,1119.38314689599
1996,1982.42907130546,0.722460694320087,997,3.5,968.5,25,22.9039065043131,12.5071066872467,25.9477667808533,21.1333758036295,1.4968700408936,6.3606243133545,162.508333333333,64.2126712963091,224.006666666667,60.0111111111111,378.6,101.9,9.68083839589871,66.6427847522603,773.879760818237
1997,1985.75763123415,0.690453377954393,1206,6.5,1150.5,49,22.4531941413879,11.588519182927,25.3943877220154,20.7889153162638,2.0628585815429,4.5881099700928,158.1,68.3033708508227,234.862962962963,59.4047619047619,306,90.2,4.74051200034041,65.160802717589,1032.81451040588
1998,1987.56939389084,0.657513304720526,1342.5,1.5,1219.5,121.5,22.767588297526,10.3479057278842,25.259747505188,21.1319942474365,2.2135238647461,4.0603790283203,199.5875,64.0201749152164,251.177142857143,60.6923076923077,388.1,93.4,4.4496555538991,111.712686534593,1099.5569295458
1999,1984.23285659565,0.623803802411014,1105,7,1079,19,22.6173691749573,12.3490121479535,25.8713083267212,20.9167283376058,1.8762302398682,5.5002574920654,117.127777777778,72.5088618993304,177.36875,68.935,331.1,104.9,6.48593753524353,45.2214656391943,976.629863179722
