"ano","ano2","sinano","c.total","c.rosa","c.7barbas","c.branco","tsm_med_CE","tsm_coef_CE","tsm_med_chuv_CE","tsm_med_seco_CE","tsm_amp_chuv_CE","tsm_amp_seco_CE","prec_med_CE","prec_coef_CE","prec_med_chuv_CE","prec_med_seco_CE","prec_amp_chuv_CE","prec_amp_seco_CE","c.rosa.recon","c.branco.recon","c.7barbas.recon"
2002,1974.4121892634,0.519740900950844,470,1.95161668294487,3.83868264512488,7.00948371867758,27.5682909488678,1.78228134237565,27.924577554067,27.1009986877441,0.750658035278303,0.7567043304443,97.0439024390244,137.823571541831,208.172222222222,10.0739130434783,532.9,52.3,1.94461420898263,6.44466690786494,3.91368149103275
2003,1980.60157446041,0.484646305307353,705,2.92742502441731,5.75802396768733,10.5142255780164,27.9286080996195,2.03780035631719,28.4198698997497,27.4151252746582,1.176347732544,0.415498733520501,108.441463414634,129.990058592302,225.054054054054,12.56,479.1,58.8,2.92615159848775,10.7658185172132,5.91668512572538
2004,1979.22399549863,0.449636068176264,648,2.69073959691123,5.29248160434239,9.66413925468739,27.8077224095662,2.32272138573701,28.3681813875834,27.2337503433228,1.0567169189453,0.3417263031006,112.790243902439,123.950313129701,214.414634146341,11.1658536585366,452.9,49.9,2.60381211185111,9.07428418595283,4.74629609304083
2005,1971.9044175116,0.414882458019471,387,1.60696948148865,3.1607876248156,5.77163872154942,27.8425989151001,2.26844877950256,28.3691388765971,27.2184743881226,0.8810005187988,0.7174472808838,67.5865853658537,144.576246394188,164.81,11.4961538461538,358.3,58.2,1.50311249271095,6.10283036883073,2.90009079791954
2006,1978.18412736157,0.380556266097818,607,2.5204921841437,4.95761779912937,9.05267365369637,27.8132252693176,2.32679876451465,28.3110696474711,27.2261276245117,1.42160987854,0.558866500854499,95.4609756097561,129.032308311471,209.988235294118,14.3375,499.5,57.4,2.46197150485768,8.67044551008292,4.77554596692238
2007,1966.68396536815,0.346825969195469,229.5,0.952970273906061,1.8744205682046,3.42271598603512,27.8493851025899,2.49587942526323,28.438846429189,27.146337890625,0.928855895996101,0.8553581237793,79.35,125.373474753104,175.167647058824,11.4791666666667,297.8,56.7,1.01173453523527,3.78434354882664,2.08427481978526
2008,1989.82380632577,0.313856905595594,1254.9321793256,0,0,0,27.8911151885986,2.06112571405908,28.3743589719136,27.3355024337769,0.947130203247102,0.643596649169901,97.5524390243902,127.641921831223,215.547058823529,13.9729166666667,426.8,55.7,5.42841286345981,21.5812898704716,4.08532087887689
2009,1991.36417419547,0.281810468319621,1457.78288863615,0,0,0,27.7137684822083,2.10243281076223,28.2148219744364,27.1801877975464,0.892152786254901,0.614515304565398,143.518292682927,109.34323835209,250.302222222222,13.6459459459459,636.3,56.8,6.43064771013692,20.792665846518,4.28576126237385
2010,1990.2617144055,0.250843319543787,1301.00512105706,0,0,0,28.3118308385213,2.71943445223854,28.9031252861023,27.6843978881836,1.6799488067627,1.028003692627,62.958024691358,120.338081312836,138.51935483871,16.11,292.1,59.2,5.11400399571856,27.8297543284308,5.44988847409261
2011,1990.54065712506,0.221106629990628,1333.64853785709,0,0,0,27.841982126236,1.96408999426384,28.30157995224,27.3883543014526,0.812644958496097,0.6567192077637,121.258108108108,105.62364245921,198.093023255814,14.6806451612903,607.4,54.9,6.09507229313781,21.6299522798178,2.88932568211573
