"ano","ano2","sinano","c.total","c.rosa","c.7barbas","c.branco","tsm_med_ES","tsm_coef_ES","tsm_med_chuv_ES","tsm_med_seco_ES","tsm_amp_chuv_ES","tsm_amp_seco_ES","prec_med_ES","prec_coef_ES","prec_med_chuv_ES","prec_med_seco_ES","prec_amp_chuv_ES","prec_amp_seco_ES","c.rosa.recon","c.branco.recon","c.7barbas.recon"
1990,1995.38822358958,0.886423408154489,1680,75.5,1534,38.5,26.2188595136007,4.95770804235711,27.4538576761882,25.3268078698052,2.2920303344727,3.1057109832763,305.4,88.5103778252739,305.4,41.9193413778599,205.432285575049,77.9476260288066,95.9398215340206,36.8881571229092,1523.49289763382
1991,1994.48744042725,0.863141645908404,1622.16666666667,75.5,1534,38.5,25.4876317977905,5.14991387181155,26.7426219940186,24.5654729207357,1.9658451080323,3.1944732666016,111.505969357146,84.6125393601714,207.60535411568,43.3756632365149,245.55,72.9058299039781,84.3640328230701,34.5887510860977,1471.18003529115
1992,1994.11384384542,0.838066556178734,1598.61111111111,75.5,1534,38.5,25.7602803972032,4.44233533389483,26.9202185312907,25.0411194695367,1.2232398986816,3.0505466461182,152.775,66.0986874875198,199.314285714286,44.1833333333333,257.9,83.1,99.4879098926989,28.1319530076515,1611.12594356454
1993,1990.73219717275,0.811323658800943,1395.5462962963,75.5,1534,38.5,26.0835377905104,5.23261331098999,27.4153058369954,25.0769621531169,2.0976428985596,3.4467105865478,84.3208333333333,72.5210024223671,141.13,43.7428571428571,136.1,81.1,83.9514621338947,27.2048571468088,1394.62568092115
1994,1987.08687185452,0.783046571050679,1193.80401234568,75.5,1534,38.5,25.8784348699782,5.85259330098736,27.403352355957,24.7917239930894,1.8709125518799,3.6762104034424,111.641666666667,74.073005364049,165.707692307692,47.7454545454545,208.5,71.5,48.1371864280109,24.5219272940141,1142.18428834685
1995,1990.88738383284,0.753376332437337,1404.5,75.5,1258.5,38.5,25.9668610360887,4.89943080594533,27.2625977834066,25.1852264404297,1.7689361572266,3.5182914733887,111.175,80.0516894693362,180.8,41.55,204.9,86,81.3497456644651,29.5304438569129,1393.64459877902
1996,1969.68632557222,0.722460694320087,388,3,357.5,27.5,25.79489241706,6.83670986192336,27.5546802520752,24.468653678894,2.7014465332031,3.6400146484375,104.508333333333,95.5329910729849,185.081818181818,36.3307692307692,296.3,59.9,3.38697756059127,13.0999719018038,326.246055393922
1997,1978.15286750677,0.690453377954393,754,54.5,657,42.5,25.5280879338582,4.53428583473941,26.448290125529,24.5399749543932,1.7943820953369,2.5025749206543,93.8583333333333,90.227927393829,166.2,32.6461538461538,203.9,70.1,51.1232959505804,20.1378654643095,587.68924643965
1998,1963.39057367123,0.657513304720526,139,15,118,6,26.4349609480964,6.01594090286874,28.0639032999674,25.2630960676405,2.325008392334,3.5112476348877,67.6,115.263777914389,192.28,32.9666666666667,183,81.6,10.7449473612961,7.73471919290767,129.891111466916
1999,1960.63258941898,0.623803802411014,35,4.5,30,0.5,26.0856149461534,6.53127906826985,27.8960437774658,24.9834802415636,2.0901412963867,3.6286506652832,114.695833333333,93.8025852113276,211.63,45.4571428571429,293.4,77.3,4.94950427651671,3.61223233681761,82.5725999048927
